user_age,day_calorie,day_proteins,day_sodium,day_calcium
6,1700,30,1200,2500
7,1700,30,1200,2500
8,1700,30,1200,2500
9,2100,35,1400,3000
10,2100,35,1400,3000
11,2100,35,1400,3000
12,2500,45,1500,3000
13,2500,45,1500,3000
14,2500,45,1500,3000
15,2700,50,1500,3000
16,2700,50,1500,3000
17,2700,50,1500,3000
18,2700,50,1500,3000
19,2600,50,1500,2500
20,2600,50,1500,2500
21,2600,50,1500,2500
22,2600,50,1500,2500
23,2600,50,1500,2500
24,2600,50,1500,2500
25,2600,50,1500,2500
26,2600,50,1500,2500
27,2600,50,1500,2500
28,2600,50,1500,2500
29,2600,50,1500,2500
30,2400,50,1500,2500
31,2400,50,1500,2500
32,2400,50,1500,2500
33,2400,50,1500,2500
34,2400,50,1500,2500
35,2400,50,1500,2500
36,2400,50,1500,2500
37,2400,50,1500,2500
38,2400,50,1500,2500
39,2400,50,1500,2500
40,2400,50,1500,2500
41,2400,50,1500,2500
42,2400,50,1500,2500
43,2400,50,1500,2500
44,2400,50,1500,2500
45,2400,50,1500,2500
46,2400,50,1500,2500
47,2400,50,1500,2500
48,2400,50,1500,2500
49,2400,50,1500,2500
50,2200,50,1500,2000
51,2200,50,1500,2000
52,2200,50,1500,2000
53,2200,50,1500,2000
54,2200,50,1500,2000
55,2200,50,1500,2000
56,2200,50,1500,2000
57,2200,50,1500,2000
58,2200,50,1500,2000
59,2200,50,1500,2000
60,2200,50,1500,2000
61,2200,50,1500,2000
62,2200,50,1500,2000
63,2200,50,1500,2000
64,2200,50,1500,2000
65,2000,45,1300,2000
66,2000,45,1300,2000
67,2000,45,1300,2000
68,2000,45,1300,2000
69,2000,45,1300,2000
70,2000,45,1300,2000
71,2000,45,1300,2000
72,2000,45,1300,2000
73,2000,45,1300,2000
74,2000,45,1300,2000
75,2000,45,1100,2000
76,2000,45,1100,2000
77,2000,45,1100,2000
78,2000,45,1100,2000
79,2000,45,1100,2000
80,2000,45,1100,2000
81,2000,45,1100,2000
82,2000,45,1100,2000
83,2000,45,1100,2000
84,2000,45,1100,2000
85,2000,45,1100,2000
86,2000,45,1100,2000
87,2000,45,1100,2000
88,2000,45,1100,2000
89,2000,45,1100,2000
90,2000,45,1100,2000
91,2000,45,1100,2000
92,2000,45,1100,2000
93,2000,45,1100,2000
94,2000,45,1100,2000
95,2000,45,1100,2000
96,2000,45,1100,2000
97,2000,45,1100,2000
98,2000,45,1100,2000
99,2000,45,1100,2000
100,2000,45,1100,2000
